participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.bomb,player.bomb_row,player.bomb_col,player.boxes_collected,player.pay_this_round,player.round_result,player.payoff,group.id_in_subsession,subsession.round_number,session.code
3,mpu0pmcb,,0,184,183,etfs,Adios,128.200.135.212,2019-07-26 22:29:58.395764+00:00,1,,,704,3,0,5,6,50,1,150,150,1,1,d8135so2
4,1ote2k75,,0,184,183,etfs,Adios,128.200.135.199,2019-07-26 22:29:58.423690+00:00,1,,,686,4,0,8,10,50,1,150,150,1,1,d8135so2
5,icnaoxjm,,0,184,183,etfs,Adios,128.200.135.201,2019-07-26 22:30:00.150649+00:00,1,,,744,5,0,7,5,50,1,150,150,1,1,d8135so2
6,xz3pzc3a,,0,184,183,etfs,Adios,128.200.135.208,2019-07-26 22:30:00.217345+00:00,1,,,549.5,6,1,3,9,28,1,0,0,1,1,d8135so2
7,vmaitz53,,0,183,183,etfs,Adios,128.200.135.206,2019-07-26 22:30:01.347107+00:00,1,,,871.8,7,0,9,2,12,1,36,36,1,1,d8135so2
8,p3emzs7i,,0,184,183,etfs,Adios,128.200.135.220,2019-07-26 22:30:02.063165+00:00,1,,,536,8,0,6,10,8,1,24,24,1,1,d8135so2
9,3fvw5hol,,0,183,183,etfs,Adios,128.200.135.214,2019-07-26 22:30:25.200293+00:00,1,,,834.5,9,0,4,3,60,1,180,180,1,1,d8135so2
1,u8190wh3,,0,183,183,etfs,Adios,128.200.135.218,2019-04-03 22:25:05.849976+00:00,1,,,694,1,0,4,9,25,1,75,75,1,1,pbsjqd7g
2,clazzj8w,,0,184,183,etfs,Adios,128.200.135.216,2019-04-03 22:25:06.652917+00:00,1,,,581,2,0,4,7,10,1,30,30,1,1,pbsjqd7g
3,xxtk8y8s,,0,184,183,etfs,Adios,128.200.135.208,2019-04-03 22:25:07.695344+00:00,1,,,582.8,3,1,7,8,56,1,0,0,1,1,pbsjqd7g
4,ugdc0p59,,0,184,183,etfs,Adios,128.200.135.212,2019-04-03 22:25:08.189545+00:00,1,,,553.8,4,1,6,8,45,1,0,0,1,1,pbsjqd7g
5,xjtlgivv,,0,184,183,etfs,Adios,128.200.135.201,2019-04-03 22:25:11.697726+00:00,1,,,626.8,5,0,4,8,16,1,48,48,1,1,pbsjqd7g
6,fgs7p008,,0,184,183,etfs,Adios,128.200.135.209,2019-04-03 22:25:11.916651+00:00,1,,,698.5,6,0,4,7,19,1,57,57,1,1,pbsjqd7g
7,47jwsets,,0,184,183,etfs,Adios,128.200.135.206,2019-04-03 22:25:12.733295+00:00,1,,,584,7,1,10,6,50,1,0,0,1,1,pbsjqd7g
