participant.id_in_session,participant.code,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code
1,iggr5048,0,184,183,etfs,Adios,128.200.135.206,2018-10-18 22:28:17.609321+00:00,1,,,6160.3,1,470,-52.5,5,0,0,0,1,10,-5,2,0,0,0,0,0,2,0,2,35,2,0,0,0,2729.5,0,519.5,0,1,9,21.5,30.5,0,0,-1,0,0,1,26.25,2,0,6,6,3qygj8mp
2,pwo28ffe,0,184,183,etfs,Adios,128.200.135.212,2018-10-18 22:28:18.987517+00:00,1,,,7442,2,506,0,6,0,5,5,0,5,-6,0,0,5,5,0,5,0,0,0,10,10,0,10,0,2763,0,500,0,1,9,21.5,30.5,0,0,-1,0,0,1,26.25,2,0,6,6,3qygj8mp
3,yls3cu7p,0,184,183,etfs,Adios,128.200.135.214,2018-10-18 22:28:19.928369+00:00,1,,,6565.9,3,502,0,3,0,1,1,0,0,-3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2791,0,500,0,1,9,21.5,30.5,0,0,-1,0,0,1,26.25,2,0,6,6,3qygj8mp
4,vguqr6ow,0,184,183,etfs,Adios,128.200.135.209,2018-10-18 22:28:20.922545+00:00,1,,,6254.8,4,357,0,3,0,0,0,1,13,-3,9,0,0,0,2,22.5,9,2,0,21.5,1,0,0,0,2240,0,363,0,1,9,21.5,30.5,0,0,-1,0,0,1,26.25,2,0,6,6,3qygj8mp
5,hsqjyan4,0,184,183,etfs,Adios,128.200.135.199,2018-10-18 22:28:20.827886+00:00,1,,,5729.4,5,385,0,4,0,0,0,1,12,-4,6,0,15,1,0,0,6,4,0,0,0,1,31,0,2277,0,387,0,1,9,21.5,30.5,0,0,-1,0,0,1,26.25,2,0,6,6,3qygj8mp
6,xywi1yvc,0,184,183,etfs,Adios,128.200.135.216,2018-10-18 22:28:21.141582+00:00,1,,,3332.5,6,113,0,2,0,0,0,2,12,-2,12,0,0,0,2,30,12,8,0,0,0,0,0,0,2149,0,123,0,1,9,21.5,30.5,0,0,-1,0,0,1,26.25,2,0,6,6,3qygj8mp
7,r0ld178q,0,183,183,etfs,Adios,128.200.135.201,2018-10-18 22:28:21.216749+00:00,1,,,5583,7,399,52.5,0,0,3,2,0,8,0,0,0,0,1,0,3,0,4,-2,11,2,2,7,0,1733.5,0,346.5,0,1,9,21.5,30.5,0,0,-1,0,0,1,26.25,2,0,6,6,3qygj8mp
8,tvkxmgs8,0,183,183,etfs,Adios,128.200.135.218,2018-10-18 22:28:21.333093+00:00,1,,,7327,8,432,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,5,0,1912,0,432,0,1,9,21.5,30.5,0,0,-1,0,0,1,26.25,2,0,6,6,3qygj8mp
9,n30r442n,0,184,183,etfs,Adios,128.200.135.208,2018-10-18 22:28:22.955609+00:00,1,,,3953.5,9,184,0,7,0,8,3,0,0,-7,0,0,3,3,0,0,0,12,0,0,0,0,0,0,1493,0,177,0,1,9,21.5,30.5,0,0,-1,0,0,1,26.25,2,0,6,6,3qygj8mp
1,iggr5048,0,184,183,etfs,Adios,128.200.135.206,2018-10-18 22:28:17.609321+00:00,1,,,6160.3,1,417.5,35,5,-2,0,0,2,8,3,2,-1,0,0,1,15,-1,2,0,28,2,0,0,0,3114,0,384.5,0,1,10,15,25,10,4,1,15,1,-1,29,2,0,7,7,3qygj8mp
2,pwo28ffe,0,184,183,etfs,Adios,128.200.135.212,2018-10-18 22:28:18.987517+00:00,1,,,7442,2,506,-40,6,4,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3319,0,556,0,1,10,15,25,10,4,1,15,1,-1,29,2,0,7,7,3qygj8mp
