participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code
1,15vecz97,,0,183,183,etfs2,Adios,128.200.135.209,2019-07-18 22:34:07.989863+00:00,1,,,588,1,14.5,0,17,0,0,0,9,16,-17,19,0,0,0,7,25,38,0,0,,,,,0,31,0,21,0,1,16,20.5,36.5,16,5,-1,20.5,5,2,0,,0,8,8,odwd4238
2,dfx64sqm,,0,184,183,etfs2,Adios,128.200.135.208,2019-07-18 22:34:10.031478+00:00,1,,,775.8,2,392,-4.5,2,-1,0,0,1,16,-1,9,1,21,1,0,0,20,0,0,,,,,0,38,0,19,0,1,16,20.5,36.5,16,5,-1,20.5,5,2,0,,0,8,8,odwd4238
3,vnbh07pw,,0,183,183,etfs2,Adios,128.200.135.199,2019-07-18 22:34:10.831057+00:00,1,,,698,3,483.5,73,3,-2,12,3,2,14.5,-1,3,-2,20,7,2,20,2,0,0,,,,,0,7,0,1,0,1,16,20.5,36.5,16,5,-1,20.5,5,2,0,,0,8,8,odwd4238
4,f5epqqm6,,0,183,183,etfs2,Adios,128.200.135.218,2019-07-18 22:34:16.297037+00:00,1,,,491.8,4,432,-82,10,0,15,10,10,16,-10,3,4,20.5,10,3,21,14,0,0,,,,,0,-10,0,4,0,1,16,20.5,36.5,16,5,-1,20.5,5,2,0,,0,8,8,odwd4238
5,pj1awwpc,,0,184,183,etfs2,Adios,128.200.135.212,2019-07-18 22:34:17.215943+00:00,1,,,597.5,5,512,0,2,0,0,0,1,16,-2,1,0,0,0,1,22,2,0,0,,,,,0,-9,0,0,0,1,16,20.5,36.5,16,5,-1,20.5,5,2,0,,0,8,8,odwd4238
6,g9uyk47r,,0,184,183,etfs2,Adios,128.200.135.206,2019-07-18 22:34:20.857331+00:00,1,,,666,6,384,16,2,-1,0,0,1,14,-1,8,0,0,0,2,21,16,0,0,,,,,0,18,0,15,0,1,16,20.5,36.5,16,5,-1,20.5,5,2,0,,0,8,8,odwd4238
7,kudj51ve,,0,184,183,etfs2,Adios,128.200.135.214,2019-07-18 22:34:23.169427+00:00,1,,,661.8,7,426,77.5,1,-1,15,4,1,2,0,7,-3,0,0,3,15,8,0,0,,,,,0,18,0,8,0,1,16,20.5,36.5,16,5,-1,20.5,5,2,0,,0,8,8,odwd4238
8,7ls6ful5,,0,184,183,etfs2,Adios,128.200.135.201,2019-07-18 22:34:27.177582+00:00,1,,,743.3,8,385,0,10,0,0,0,0,0,-10,4,0,0,0,0,0,8,0,0,,,,,0,-18,0,-2,0,1,16,20.5,36.5,16,5,-1,20.5,5,2,0,,0,8,8,odwd4238
9,kp0ve6m2,,0,183,183,etfs2,Adios,128.200.135.220,2019-07-18 22:34:56.738722+00:00,1,,,562,9,319,-80,13,5,17,5,0,0,-18,6,0,0,0,0,0,12,0,0,,,,,0,-15,0,-6,0,1,16,20.5,36.5,16,5,-1,20.5,5,2,0,,0,8,8,odwd4238
1,15vecz97,,0,183,183,etfs2,Adios,128.200.135.209,2019-07-18 22:34:07.989863+00:00,1,,,588,1,14.5,0,17,0,0,0,0,0,17,19,0,0,0,0,0,0,0,0,,,,,0,48,0,17,0,1,17,21,38,17,5,1,21,5,0,0,,0,9,9,odwd4238
