participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
5,cbq187nv,,0,184,183,etfs2,Adios,128.200.135.209,2018-11-30 21:21:19.519713+00:00,1,,,853,5,263,152.5,15,-5,10,5,5,30,-10,8,0,20,2,0,0,8,0,0,,,,,0,-19,0,-2,0,1,30.5,45,75.5,30.5,5,-1,45,6,1,0,,0,7,7,pnbcdmga,,,,,,1
6,fr7ywcq2,,0,184,183,etfs2,Adios,128.200.135.208,2018-11-30 21:21:19.284605+00:00,1,,,631.3,6,527,-61,4,2,35,2,0,0,-6,3,0,35,2,0,0,3,0,0,,,,,0,-13,0,-3,0,1,30.5,45,75.5,30.5,5,-1,45,6,1,0,,0,7,7,pnbcdmga,,,,,,1
7,4lstzzhr,,0,184,183,etfs2,Adios,128.200.135.206,2018-11-30 21:21:19.655906+00:00,1,,,482.5,7,163,45,10,0,20,3,3,40,-10,12,-1,25,3,2,45,11,0,0,,,,,0,1,0,1,0,1,30.5,45,75.5,30.5,5,-1,45,6,1,0,,0,7,7,pnbcdmga,,,,,,1
8,pw6gpuw3,,0,183,183,etfs2,Adios,128.200.135.199,2018-11-30 21:21:20.333594+00:00,1,,,689,8,680,0,3,0,15,3,3,35,-3,0,0,5,9,0,15,0,0,0,,,,,0,-13,0,-3,0,1,30.5,45,75.5,30.5,5,-1,45,6,1,0,,0,7,7,pnbcdmga,,,,,,1
9,o6xznfar,,0,184,183,etfs2,Adios,128.200.135.216,2018-11-30 21:21:21.173466+00:00,1,,,621,9,365,0,11,0,0,0,0,0,-11,6,0,30,5,0,0,6,0,0,,,,,0,-21,0,-5,0,1,30.5,45,75.5,30.5,5,-1,45,6,1,0,,0,7,7,pnbcdmga,,,,,,1
1,cvsr70o6,,0,184,183,etfs2,Adios,128.200.135.218,2018-11-30 21:21:17.180426+00:00,1,,,452,1,257,0,11,0,0,0,5,30,11,6,0,45,4,0,0,0,0,0,,,,,0,-3,0,11,0,1,20,47.5,67.5,20,3,1,47.5,6,0,0,,0,8,8,pnbcdmga,,,,,,1
2,a1m3t8k2,,0,183,183,etfs2,Adios,128.200.135.201,2018-11-30 21:21:18.822271+00:00,1,,,532,2,125,-95,0,0,0,0,0,0,0,13,2,60,2,0,0,0,0,0,,,,,0,42,0,0,0,1,20,47.5,67.5,20,3,1,47.5,6,0,0,,0,8,8,pnbcdmga,,,,,,1
3,hap7vuk8,,0,184,183,etfs2,Adios,128.200.135.212,2018-11-30 21:21:18.849164+00:00,1,,,675.3,3,451.5,-190,5,0,0,0,3,32,5,1,4,50,4,0,0,0,0,0,,,,,0,8,0,5,0,1,20,47.5,67.5,20,3,1,47.5,6,0,0,,0,8,8,pnbcdmga,,,,,,1
4,pdmheqm5,,0,183,183,etfs2,Adios,128.200.135.214,2018-11-30 21:21:19.118391+00:00,1,,,395,4,380,297.5,4,-3,11,5,3,20,1,12,-5,31,3,5,40,0,0,0,,,,,0,35,0,1,0,1,20,47.5,67.5,20,3,1,47.5,6,0,0,,0,8,8,pnbcdmga,,,,,,1
5,cbq187nv,,0,184,183,etfs2,Adios,128.200.135.209,2018-11-30 21:21:19.519713+00:00,1,,,853,5,415.5,0,10,0,0,0,10,30,10,8,0,0,0,8,50,0,0,0,,,,,0,-9,0,10,0,1,20,47.5,67.5,20,3,1,47.5,6,0,0,,0,8,8,pnbcdmga,,,,,,1
6,fr7ywcq2,,0,184,183,etfs2,Adios,128.200.135.208,2018-11-30 21:21:19.284605+00:00,1,,,631.3,6,466,0,6,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,,,,,0,-7,0,6,0,1,20,47.5,67.5,20,3,1,47.5,6,0,0,,0,8,8,pnbcdmga,,,,,,1
7,4lstzzhr,,0,184,183,etfs2,Adios,128.200.135.206,2018-11-30 21:21:19.655906+00:00,1,,,482.5,7,208,-60,10,3,20,3,3,40,13,11,0,30,3,1,50,0,0,0,,,,,0,14,0,13,0,1,20,47.5,67.5,20,3,1,47.5,6,0,0,,0,8,8,pnbcdmga,,,,,,1
8,pw6gpuw3,,0,183,183,etfs2,Adios,128.200.135.199,2018-11-30 21:21:20.333594+00:00,1,,,689,8,680,0,3,0,10,5,0,20,3,0,0,10,5,0,20,0,0,0,,,,,0,-10,0,3,0,1,20,47.5,67.5,20,3,1,47.5,6,0,0,,0,8,8,pnbcdmga,,,,,,1
9,o6xznfar,,0,184,183,etfs2,Adios,128.200.135.216,2018-11-30 21:21:21.173466+00:00,1,,,621,9,365,47.5,11,0,0,0,1,30,11,6,-1,0,0,1,40,0,0,0,,,,,0,-10,0,11,0,1,20,47.5,67.5,20,3,1,47.5,6,0,0,,0,8,8,pnbcdmga,,,,,,1
1,cvsr70o6,,0,184,183,etfs2,Adios,128.200.135.218,2018-11-30 21:21:17.180426+00:00,1,,,452,1,257,-190.5,11,4,25,4,4,30,-15,6,3,50,3,0,0,18,0,0,,,,,0,0,0,3,0,1,21,35.5,56.5,21,4,-1,35.5,3,2,0,,0,9,9,pnbcdmga,,,,,,1
2,a1m3t8k2,,0,183,183,etfs2,Adios,128.200.135.201,2018-11-30 21:21:18.822271+00:00,1,,,532,2,30,0,0,0,10,3,0,0,0,15,0,0,0,0,0,30,0,0,,,,,0,72,0,30,0,1,21,35.5,56.5,21,4,-1,35.5,3,2,0,,0,9,9,pnbcdmga,,,,,,1
3,hap7vuk8,,0,184,183,etfs2,Adios,128.200.135.212,2018-11-30 21:21:18.849164+00:00,1,,,675.3,3,261.5,0,5,0,20,5,2,22,-5,5,0,0,0,3,55,10,0,0,,,,,0,13,0,5,0,1,21,35.5,56.5,21,4,-1,35.5,3,2,0,,0,9,9,pnbcdmga,,,,,,1
