participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.cash,player.delta_cash,player.n_a,player.t_a,player.bida,player.nbida,player.naska,player.aska,player.di_a,player.n_b,player.t_b,player.bidb,player.nbidb,player.naskb,player.askb,player.di_b,player.n_c,player.t_c,player.bidc,player.nbidc,player.naskc,player.askc,player.di_c,player.cum_payoff,player.cum_payoff_topay,player.pay_display,player.payoff,group.id_in_subsession,group.nav_a,group.nav_b,group.nav,group.p_a,group.q_a,group.d_a,group.p_b,group.q_b,group.d_b,group.p_c,group.q_c,group.d_c,subsession.round_number,subsession.ronda,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
9,sgv4wvo7,,0,184,183,etfs2,Adios,128.200.135.209,2019-05-01 20:25:39.767653+00:00,1,,,929.5,9,309.5,140,10,-2,17,2,2,20,8,10,-3,25,5,3,30,-7,0,0,,,,,0,1,1,1,1,1,25,30,55,25,12,1,30,6,-1,0,,0,5,5,l60a9yvg,,,,,,1
1,9g62jmyl,,0,184,183,etfs2,Adios,128.200.135.212,2019-05-01 20:25:34.103893+00:00,1,,,581,1,465,-34,5,0,0,0,3,35,-5,4,1,34,5,0,0,5,0,0,,,,,0,-9,-9,0,0,1,20,34,54,20,4,-1,34,6,1,0,,0,6,6,l60a9yvg,,,,,,1
2,uw2p1vmt,,0,183,183,etfs2,Adios,128.200.135.218,2019-05-01 20:25:34.377431+00:00,1,,,767,2,580,0,3,0,15,10,3,32,-3,0,0,15,10,0,0,0,0,0,,,,,0,-12,-12,-3,-3,1,20,34,54,20,4,-1,34,6,1,0,,0,6,6,l60a9yvg,,,,,,1
3,nuwqm5dq,,0,184,183,etfs2,Adios,128.200.135.208,2019-05-01 20:25:34.922010+00:00,1,,,704,3,492,0,4,0,0,0,2,35,-4,3,0,30,3,0,0,3,0,0,,,,,0,0,0,-1,-1,1,20,34,54,20,4,-1,34,6,1,0,,0,6,6,l60a9yvg,,,,,,1
4,b53tarpq,,0,183,183,etfs2,Adios,128.200.135.216,2019-05-01 20:25:35.051203+00:00,1,,,440,4,221,-190,0,1,30,1,0,0,-1,13,5,35,5,3,45,18,0,0,,,,,0,28,28,17,17,1,20,34,54,20,4,-1,34,6,1,0,,0,6,6,l60a9yvg,,,,,,1
5,32aoo3sd,,0,184,183,etfs2,Adios,128.200.135.206,2019-05-01 20:25:36.159887+00:00,1,,,597.5,5,184.5,122,13,-1,10,1,3,20,-12,7,-3,10,1,3,25,4,0,0,,,,,0,-6,-6,-8,-8,1,20,34,54,20,4,-1,34,6,1,0,,0,6,6,l60a9yvg,,,,,,1
6,z5gaz9i2,,0,184,183,etfs2,Adios,128.200.135.214,2019-05-01 20:25:36.645351+00:00,1,,,781.5,6,425.5,0,5,0,10,5,0,0,-5,10,0,0,0,0,0,10,0,0,,,,,0,4,4,5,5,1,20,34,54,20,4,-1,34,6,1,0,,0,6,6,l60a9yvg,,,,,,1
7,3btpnx53,,0,184,183,etfs2,Adios,128.200.135.201,2019-05-01 20:25:38.101479+00:00,1,,,417.5,7,287.5,162,8,-3,0,0,3,15,-5,8,-3,0,0,3,15,5,0,0,,,,,0,-2,-2,0,0,1,20,34,54,20,4,-1,34,6,1,0,,0,6,6,l60a9yvg,,,,,,1
8,xz7jogl2,,0,184,183,etfs2,Adios,128.200.135.199,2019-05-01 20:25:38.235252+00:00,1,,,413,8,243,0,14,0,0,0,0,0,-14,8,0,0,0,0,0,8,0,0,,,,,0,0,0,-6,-6,1,20,34,54,20,4,-1,34,6,1,0,,0,6,6,l60a9yvg,,,,,,1
9,sgv4wvo7,,0,184,183,etfs2,Adios,128.200.135.209,2019-05-01 20:25:39.767653+00:00,1,,,929.5,9,449.5,-60,8,3,25,3,0,0,-11,7,0,33,5,0,0,7,0,0,,,,,0,-3,-3,-4,-4,1,20,34,54,20,4,-1,34,6,1,0,,0,6,6,l60a9yvg,,,,,,1
1,9g62jmyl,,0,184,183,etfs2,Adios,128.200.135.212,2019-05-01 20:25:34.103893+00:00,1,,,581,1,431,0,5,0,0,0,0,0,-5,5,0,30,3,0,0,5,0,0,,,,,0,-9,-9,0,0,1,25,35,60,25,2,-1,35,5,1,0,,0,7,7,l60a9yvg,,,,,,1
2,uw2p1vmt,,0,183,183,etfs2,Adios,128.200.135.218,2019-05-01 20:25:34.377431+00:00,1,,,767,2,580,0,3,0,10,20,0,0,-3,0,0,0,0,0,0,0,0,0,,,,,0,-15,-15,-3,-3,1,25,35,60,25,2,-1,35,5,1,0,,0,7,7,l60a9yvg,,,,,,1
3,nuwqm5dq,,0,184,183,etfs2,Adios,128.200.135.208,2019-05-01 20:25:34.922010+00:00,1,,,704,3,492,70,4,0,2,20,0,0,-4,3,-2,0,0,2,25,1,0,0,,,,,0,-3,-3,-3,-3,1,25,35,60,25,2,-1,35,5,1,0,,0,7,7,l60a9yvg,,,,,,1
4,b53tarpq,,0,183,183,etfs2,Adios,128.200.135.216,2019-05-01 20:25:35.051203+00:00,1,,,440,4,31,0,1,0,1,30,1,80,-1,18,0,0,1000,5,50,18,0,0,,,,,0,45,45,17,17,1,25,35,60,25,2,-1,35,5,1,0,,0,7,7,l60a9yvg,,,,,,1
5,32aoo3sd,,0,184,183,etfs2,Adios,128.200.135.206,2019-05-01 20:25:36.159887+00:00,1,,,597.5,5,306.5,-70,12,0,25,4,2,10,-12,4,2,35,5,3,10,6,0,0,,,,,0,-12,-12,-6,-6,1,25,35,60,25,2,-1,35,5,1,0,,0,7,7,l60a9yvg,,,,,,1
6,z5gaz9i2,,0,184,183,etfs2,Adios,128.200.135.214,2019-05-01 20:25:36.645351+00:00,1,,,781.5,6,425.5,0,5,0,20,5,0,0,-5,10,0,0,0,0,0,10,0,0,,,,,0,9,9,5,5,1,25,35,60,25,2,-1,35,5,1,0,,0,7,7,l60a9yvg,,,,,,1
7,3btpnx53,,0,184,183,etfs2,Adios,128.200.135.201,2019-05-01 20:25:38.101479+00:00,1,,,417.5,7,449.5,0,5,0,21,5,0,0,-5,5,0,35,5,0,0,5,0,0,,,,,0,-2,-2,0,0,1,25,35,60,25,2,-1,35,5,1,0,,0,7,7,l60a9yvg,,,,,,1
8,xz7jogl2,,0,184,183,etfs2,Adios,128.200.135.199,2019-05-01 20:25:38.235252+00:00,1,,,413,8,243,0,14,0,0,0,0,0,-14,8,0,0,0,0,0,8,0,0,,,,,0,-6,-6,-6,-6,1,25,35,60,25,2,-1,35,5,1,0,,0,7,7,l60a9yvg,,,,,,1
9,sgv4wvo7,,0,184,183,etfs2,Adios,128.200.135.209,2019-05-01 20:25:39.767653+00:00,1,,,929.5,9,389.5,0,11,0,22,3,0,0,-11,7,0,34,3,0,0,7,0,0,,,,,0,-7,-7,-4,-4,1,25,35,60,25,2,-1,35,5,1,0,,0,7,7,l60a9yvg,,,,,,1
1,9g62jmyl,,0,184,183,etfs2,Adios,128.200.135.212,2019-05-01 20:25:34.103893+00:00,1,,,581,1,431,0,5,0,0,0,0,0,-5,5,0,30,1,0,0,10,0,0,,,,,0,-4,-4,5,5,1,30,38,68,30,3,-1,38,5,2,0,,0,8,8,l60a9yvg,,,,,,1
2,uw2p1vmt,,0,183,183,etfs2,Adios,128.200.135.218,2019-05-01 20:25:34.377431+00:00,1,,,767,2,580,0,3,0,15,10,3,35,-3,0,0,25,10,0,0,0,0,0,,,,,0,-18,-18,-3,-3,1,30,38,68,30,3,-1,38,5,2,0,,0,8,8,l60a9yvg,,,,,,1
3,nuwqm5dq,,0,184,183,etfs2,Adios,128.200.135.208,2019-05-01 20:25:34.922010+00:00,1,,,704,3,562,0,4,0,0,0,2,35,-4,1,0,25,2,0,0,2,0,0,,,,,0,-5,-5,-2,-2,1,30,38,68,30,3,-1,38,5,2,0,,0,8,8,l60a9yvg,,,,,,1
4,b53tarpq,,0,183,183,etfs2,Adios,128.200.135.216,2019-05-01 20:25:35.051203+00:00,1,,,440,4,31,0,1,0,1,30,1,40,-1,18,0,0,100000,5,50,36,0,0,,,,,0,80,80,35,35,1,30,38,68,30,3,-1,38,5,2,0,,0,8,8,l60a9yvg,,,,,,1
5,32aoo3sd,,0,184,183,etfs2,Adios,128.200.135.206,2019-05-01 20:25:36.159887+00:00,1,,,597.5,5,236.5,0,12,0,0,0,0,0,-12,6,0,0,0,0,0,12,0,0,,,,,0,-12,-12,0,0,1,30,38,68,30,3,-1,38,5,2,0,,0,8,8,l60a9yvg,,,,,,1
6,z5gaz9i2,,0,184,183,etfs2,Adios,128.200.135.214,2019-05-01 20:25:36.645351+00:00,1,,,781.5,6,425.5,190,5,0,20,5,0,0,-5,10,-5,0,0,5,35,10,0,0,,,,,0,14,14,5,5,1,30,38,68,30,3,-1,38,5,2,0,,0,8,8,l60a9yvg,,,,,,1
7,3btpnx53,,0,184,183,etfs2,Adios,128.200.135.201,2019-05-01 20:25:38.101479+00:00,1,,,417.5,7,449.5,-280,5,3,30,5,0,0,-8,5,5,40,5,0,0,20,0,0,,,,,0,10,10,12,12,1,30,38,68,30,3,-1,38,5,2,0,,0,8,8,l60a9yvg,,,,,,1
8,xz7jogl2,,0,184,183,etfs2,Adios,128.200.135.199,2019-05-01 20:25:38.235252+00:00,1,,,413,8,243,0,14,0,0,0,0,0,-14,8,0,0,0,0,0,16,0,0,,,,,0,-4,-4,2,2,1,30,38,68,30,3,-1,38,5,2,0,,0,8,8,l60a9yvg,,,,,,1
9,sgv4wvo7,,0,184,183,etfs2,Adios,128.200.135.209,2019-05-01 20:25:39.767653+00:00,1,,,929.5,9,389.5,90,11,-3,20,2,3,22,-8,7,0,36,2,0,0,14,0,0,,,,,0,-1,-1,6,6,1,30,38,68,30,3,-1,38,5,2,0,,0,8,8,l60a9yvg,,,,,,1
1,9g62jmyl,,0,184,183,etfs2,Adios,128.200.135.212,2019-05-01 20:25:34.103893+00:00,1,,,581,1,431,-40,5,0,0,0,0,0,-5,5,1,42,1,0,0,12,0,0,,,,,0,3,3,7,7,1,35,40,75,35,5,-1,40,3,2,0,,0,9,9,l60a9yvg,,,,,,1
2,uw2p1vmt,,0,183,183,etfs2,Adios,128.200.135.218,2019-05-01 20:25:34.377431+00:00,1,,,767,2,580,0,3,0,20,4,0,0,-3,0,0,30,2,0,0,0,0,0,,,,,0,-21,-21,-3,-3,1,35,40,75,35,5,-1,40,3,2,0,,0,9,9,l60a9yvg,,,,,,1
